date,product,category,region,sales_amount,quantity,profit
2022-01-11,Binder,Office Supplies,Central,921.24,12,157.92
2022-01-11,Stapler,Office Supplies,Central,1198.06,13,300.35
2022-01-11,USB Hub,Electronics,South,55.34,4,13.07
2022-01-11,Wireless Mouse,Electronics,South,428.31,4,109.33
2022-01-11,Pen Pack,Office Supplies,North,646.51,6,55.69
2022-01-11,Office Chair,Furniture,Central,141.24,2,15.83
2022-01-11,Stapler,Office Supplies,West,187.7,2,50.75
2022-01-11,Running Shoes,Apparel,West,830.21,9,154.35
2022-01-12,Running Shoes,Apparel,East,228.66,6,42.67
2022-01-12,Binder,Office Supplies,North,116.35,4,16.91
2022-01-12,Filing Cabinet,Furniture,Central,80.08,1,26.93
2022-01-12,Wireless Mouse,Electronics,Central,622.74,12,67.16
2022-01-12,Wireless Mouse,Electronics,South,179.74,4,55.53
2022-01-12,Baseball Cap,Apparel,East,618.38,7,89.05
2022-01-12,Bluetooth Speaker,Electronics,East,536.41,14,89.56
2022-01-12,Filing Cabinet,Furniture,West,160.72,13,28.1
2022-01-12,Phone Case,Electronics,Central,72.52,1,16.24
2022-01-12,Wireless Mouse,Electronics,West,148.33,8,27.49
2022-01-12,Office Chair,Furniture,East,312.89,3,94.9
2022-01-12,Desk Lamp,Furniture,Central,492.44,7,141.85
2022-01-13,Polo Shirt,Apparel,South,68.31,1,8.4
2022-01-13,Baseball Cap,Apparel,South,945.84,12,287.65
2022-01-13,Baseball Cap,Apparel,West,160.01,11,51.53
2022-01-13,Notebook Set,Office Supplies,East,339.85,3,107.05
2022-01-13,Pen Pack,Office Supplies,West,405.93,6,32.59
2022-01-14,Bluetooth Speaker,Electronics,South,641.06,10,182.94
2022-01-14,Pen Pack,Office Supplies,West,974.73,12,334.98
2022-01-14,USB Hub,Electronics,West,150.17,12,49.55
2022-01-14,USB Hub,Electronics,North,596.41,8,149.71
2022-01-14,Winter Jacket,Apparel,West,329.34,4,81.92
2022-01-14,Bluetooth Speaker,Electronics,South,50.69,2,14.71
2022-01-14,Notebook Set,Office Supplies,Central,114.83,12,21.89
2022-01-14,Wireless Mouse,Electronics,East,64.69,4,8.03
2022-01-14,Stapler,Office Supplies,East,727.73,11,239.8
2022-01-15,Winter Jacket,Apparel,North,1061.2,12,287.52
2022-01-15,Notebook Set,Office Supplies,South,1396.82,13,341.07
2022-01-15,Bookshelf,Furniture,Central,326.25,4,70.69
2022-01-16,Filing Cabinet,Furniture,Central,1510.41,14,447.09
2022-01-16,USB Hub,Electronics,North,107.91,7,18.65
2022-01-16,Filing Cabinet,Furniture,East,397.45,13,100.78
2022-01-16,Binder,Office Supplies,Central,1026.78,11,208.68
2022-01-16,Binder,Office Supplies,Unknown,880.11,8,210.11
2022-01-16,USB Hub,Electronics,South,964.96,13,84.57
2022-01-16,Phone Case,Electronics,South,14.53,1,3.11
2022-01-16,Phone Case,Electronics,South,1313.47,13,188.7
2022-01-17,Polo Shirt,Apparel,Central,193.62,2,46.98
2022-01-17,Pen Pack,Office Supplies,Central,631.59,7,52.32
2022-01-17,USB Hub,Electronics,Central,833.64,8,111.35
2022-01-17,Notebook Set,Office Supplies,East,104.8,1,10.56
2022-01-17,Notebook Set,Office Supplies,North,884.27,10,276.5
2022-01-17,Baseball Cap,Apparel,North,253.67,13,42.8
2022-01-18,Polo Shirt,Apparel,Central,366.93,14,110.74
2022-01-18,Baseball Cap,Apparel,North,160.43,8,55.14
2022-01-18,Running Shoes,Apparel,Central,956.43,14,279.21
2022-01-18,Desk Lamp,Furniture,North,562.62,7,156.16
2022-01-18,Notebook Set,Office Supplies,West,868.22,10,79.75
2022-01-18,Stapler,Office Supplies,North,204.07,10,17.92
2022-01-18,Winter Jacket,Apparel,Central,205.04,12,43.69
2022-01-19,Winter Jacket,Apparel,South,710.31,11,63.84
2022-01-19,USB Hub,Electronics,North,966.65,11,240.55
2022-01-19,Filing Cabinet,Furniture,West,71.45,2,13.54
2022-01-19,Running Shoes,Apparel,North,736.25,9,159.52
2022-01-19,Binder,Office Supplies,West,98.24,1,34.07
2022-01-19,Office Chair,Furniture,West,116.94,5,26.93
2022-01-19,Desk Lamp,Furniture,West,164.69,4,18.17
2022-01-19,Notebook Set,Office Supplies,Central,489.09,12,39.53
2022-01-20,Running Shoes,Apparel,Central,470.46,8,157.07
2022-01-20,Phone Case,Electronics,East,23.76,1,4.6
2022-01-20,Phone Case,Electronics,West,535.48,10,72.85
2022-01-20,Office Chair,Furniture,West,49.04,3,13.9
2022-01-20,Phone Case,Electronics,North,1207.95,11,144.77
2022-01-21,Polo Shirt,Apparel,North,726.92,14,96.32
2022-01-21,Bookshelf,Furniture,North,265.19,8,91.72
2022-01-21,Filing Cabinet,Furniture,North,166.17,2,37.69
2022-01-22,USB Hub,Electronics,South,261.26,4,59.87
2022-01-22,Baseball Cap,Apparel,West,448.37,14,105.57
2022-01-22,Stapler,Office Supplies,East,72.03,2,21.27
2022-01-22,Bluetooth Speaker,Electronics,South,127.59,2,38.48
2022-01-22,Bookshelf,Furniture,South,42.05,1,9.93
2022-01-22,Stapler,Office Supplies,Central,466.88,11,158.37
2022-01-22,Pen Pack,Office Supplies,West,733.83,7,113.8
2022-01-23,Filing Cabinet,Furniture,North,459.79,10,80.74
2022-01-23,Binder,Office Supplies,South,1347.15,13,249.77
2022-01-23,Wireless Mouse,Electronics,South,407.33,7,91.67
2022-01-23,Notebook Set,Office Supplies,North,859.99,11,196.68
2022-01-23,USB Hub,Electronics,North,263.22,9,26.06
2022-01-23,Bluetooth Speaker,Electronics,West,767.02,11,241.4
2022-01-23,Notebook Set,Office Supplies,Central,838.77,7,175.34
2022-01-24,USB Hub,Electronics,North,969.1,11,332.97
2022-01-24,Bluetooth Speaker,Electronics,West,1360.47,11,397.08
2022-01-24,Filing Cabinet,Furniture,South,336.53,5,109.53
2022-01-24,Notebook Set,Office Supplies,North,147.25,3,46.38
2022-01-24,Phone Case,Electronics,West,54.27,1,11.08
2022-01-25,Binder,Office Supplies,South,266.51,10,43.18
2022-01-25,Pen Pack,Office Supplies,East,57.52,4,12.25
2022-01-25,Office Chair,Furniture,North,1483.77,13,199.9
2022-01-25,Bookshelf,Furniture,West,445.14,4,100.07
2022-01-25,Baseball Cap,Apparel,East,285.34,3,25.03
2022-01-26,Wireless Mouse,Electronics,North,626.39,11,54.49
2022-01-26,Phone Case,Electronics,South,967.24,11,100.03
2022-01-26,Office Chair,Furniture,West,296.13,7,24.51
2022-01-26,Baseball Cap,Apparel,Central,304.95,4,62.09
2022-01-26,Running Shoes,Apparel,East,909.4,10,233.15
2022-01-26,USB Hub,Electronics,Central,1168.55,13,233.7
2022-01-26,Office Chair,Furniture,South,1082.87,10,312.01
2022-01-27,Baseball Cap,Apparel,North,944.41,14,304.36
2022-01-27,Binder,Office Supplies,South,192.39,2,37.15
2022-01-27,Office Chair,Furniture,Central,118.63,2,28.41
2022-01-27,Stapler,Office Supplies,North,598.88,9,69.71
2022-01-27,Office Chair,Furniture,Central,124.52,2,37.77
2022-01-28,Binder,Office Supplies,South,49.46,2,14.99
2022-01-28,Bookshelf,Furniture,Central,741.37,14,244.07
2022-01-28,Polo Shirt,Apparel,South,1202.23,10,139.43
2022-01-28,Binder,Office Supplies,Central,56.36,8,19.59
2022-01-28,Bookshelf,Furniture,Central,161.09,4,41.54
2022-01-29,Desk Lamp,Furniture,North,623.68,9,136.85
2022-01-29,Polo Shirt,Apparel,Central,818.41,7,179.12
2022-01-29,Winter Jacket,Apparel,East,478.34,5,155.67
2022-01-29,Notebook Set,Office Supplies,East,283.23,11,92.95
2022-01-29,Winter Jacket,Apparel,North,176.89,9,55.08
2022-01-29,Pen Pack,Office Supplies,South,246.45,5,49.5
2022-01-29,Office Chair,Furniture,West,70.96,3,9.61
2022-01-29,Office Chair,Furniture,South,877.21,10,105.17
2022-01-29,Polo Shirt,Apparel,North,1468.03,14,391.56
2022-01-29,Baseball Cap,Apparel,West,625.06,12,205.18
2022-01-29,Desk Lamp,Furniture,West,1434.61,13,353.45
2022-01-30,Bluetooth Speaker,Electronics,Central,881.61,13,235.69
2022-01-30,Phone Case,Electronics,East,22.12,1,2.93
2022-01-30,Desk Lamp,Furniture,East,539.59,6,107.29
2022-01-30,Wireless Mouse,Electronics,North,476.17,14,148.06
2022-01-30,Filing Cabinet,Furniture,Central,631.97,14,63.84
2022-01-31,Wireless Mouse,Electronics,Central,610.62,14,90.32
2022-01-31,Wireless Mouse,Electronics,North,354.04,8,119.99
2022-01-31,Bookshelf,Furniture,West,849.13,11,238.47
2022-01-31,Polo Shirt,Apparel,North,85.11,2,18.27
2022-02-01,Phone Case,Electronics,South,170.84,6,27.32
2022-02-01,Polo Shirt,Apparel,North,1317.9,11,252.9
2022-02-01,Polo Shirt,Apparel,West,117.16,8,34.53
2022-02-01,Bluetooth Speaker,Electronics,North,205.07,2,68.85
2022-02-01,Bluetooth Speaker,Electronics,South,656.9,7,133.67
2022-02-01,Office Chair,Furniture,West,64.58,1,11.06
2022-02-01,Desk Lamp,Furniture,South,307.87,4,78.23
2022-02-01,Phone Case,Electronics,West,340.56,14,36.48
2022-02-01,Filing Cabinet,Furniture,East,203.77,3,27.17
2022-02-02,USB Hub,Electronics,North,288.77,8,73.66
2022-02-02,Stapler,Office Supplies,South,50.69,6,4.14
2022-02-02,Office Chair,Furniture,East,280.95,5,58.64
2022-02-02,Running Shoes,Apparel,West,362.81,4,126.9
2022-02-02,Winter Jacket,Apparel,North,642.85,6,164.86
2022-02-02,Binder,Office Supplies,South,632.02,7,51.71
2022-02-02,USB Hub,Electronics,North,299.04,6,43.89
2022-02-02,Filing Cabinet,Furniture,South,598.66,6,48.12
2022-02-02,Stapler,Office Supplies,West,953.57,13,232.67
2022-02-02,Polo Shirt,Apparel,East,45.92,1,7.76
2022-02-02,Bluetooth Speaker,Electronics,West,585.72,5,176.86
2022-02-02,Bookshelf,Furniture,East,783.75,11,130.16
2022-02-02,Bluetooth Speaker,Electronics,Central,217.45,3,33.07
2022-02-02,Filing Cabinet,Furniture,South,258.95,3,38.42
2022-02-02,Bluetooth Speaker,Electronics,East,316.35,11,101.24
2022-02-02,Winter Jacket,Apparel,Central,129.26,8,37.85
2022-02-02,Baseball Cap,Apparel,North,102.52,5,27.9
2022-02-03,Pen Pack,Office Supplies,South,1423.94,14,266.15
2022-02-03,Running Shoes,Apparel,East,21.49,2,5.0
2022-02-03,Wireless Mouse,Electronics,Central,494.21,7,45.21
2022-02-03,Binder,Office Supplies,North,813.66,13,124.59
2022-02-03,Running Shoes,Apparel,South,73.62,1,10.08
2022-02-03,Polo Shirt,Apparel,West,685.99,12,224.38
2022-02-03,Bookshelf,Furniture,South,482.54,5,139.92
2022-02-03,Binder,Office Supplies,South,726.72,13,208.46
2022-02-04,Bookshelf,Furniture,South,287.43,9,40.21
2022-02-04,USB Hub,Electronics,North,1082.0,10,314.78
2022-02-04,Desk Lamp,Furniture,North,439.58,14,124.6
2022-02-04,Desk Lamp,Furniture,Central,1130.78,13,240.44
2022-02-04,Running Shoes,Apparel,West,888.7,9,156.08
2022-02-04,Winter Jacket,Apparel,South,60.08,2,5.52
2022-02-04,Winter Jacket,Apparel,Central,335.39,12,104.42
2022-02-04,Pen Pack,Office Supplies,East,52.7,1,13.56
2022-02-05,Binder,Office Supplies,Central,373.02,7,80.08
2022-02-05,Running Shoes,Apparel,North,246.12,2,81.07
2022-02-05,Bluetooth Speaker,Electronics,Central,628.61,6,68.68
2022-02-05,Running Shoes,Apparel,West,130.5,7,24.8
2022-02-06,Bluetooth Speaker,Electronics,East,898.7,10,265.57
2022-02-06,Baseball Cap,Apparel,North,59.43,3,18.03
2022-02-06,Filing Cabinet,Furniture,Central,365.07,10,38.87
2022-02-06,Wireless Mouse,Electronics,North,567.5,8,52.59
2022-02-06,Stapler,Office Supplies,North,113.18,2,10.97
2022-02-06,Bookshelf,Furniture,South,89.47,6,10.77
2022-02-06,Filing Cabinet,Furniture,North,644.77,9,68.22
2022-02-07,Bookshelf,Furniture,East,233.25,4,40.82
2022-02-07,Stapler,Office Supplies,East,185.53,4,60.07
2022-02-07,Notebook Set,Office Supplies,East,453.22,7,54.27
2022-02-07,Bookshelf,Furniture,Central,250.09,10,34.06
2022-02-07,Desk Lamp,Furniture,South,723.39,13,133.38
2022-02-07,Bluetooth Speaker,Electronics,West,1055.39,9,111.84
2022-02-07,Office Chair,Furniture,North,124.57,4,30.91
2022-02-07,Bluetooth Speaker,Electronics,North,76.83,2,23.35
2022-02-08,Running Shoes,Apparel,South,1295.88,13,218.74
2022-02-08,Desk Lamp,Furniture,North,20.29,1,2.08
2022-02-08,Winter Jacket,Apparel,North,1121.17,12,169.83
2022-02-08,Baseball Cap,Apparel,West,1163.39,11,169.34
2022-02-08,USB Hub,Electronics,East,207.11,13,28.17
2022-02-08,Notebook Set,Office Supplies,South,527.74,4,180.85
2022-02-08,Winter Jacket,Apparel,South,95.18,5,10.78
2022-02-09,Desk Lamp,Furniture,West,171.13,5,57.24
2022-02-09,Desk Lamp,Furniture,Central,571.77,9,159.17
2022-02-09,Running Shoes,Apparel,East,274.56,8,41.69
2022-02-09,Desk Lamp,Furniture,West,982.41,12,100.86
2022-02-10,Bluetooth Speaker,Electronics,South,111.58,12,24.45
2022-02-10,Polo Shirt,Apparel,West,58.74,2,19.45
2022-02-10,Baseball Cap,Apparel,Central,380.39,12,57.38
2022-02-10,USB Hub,Electronics,West,182.98,4,14.74
2022-02-10,Wireless Mouse,Electronics,Central,161.63,12,27.51
2022-02-10,Office Chair,Furniture,East,748.35,6,169.94
2022-02-10,Wireless Mouse,Electronics,Central,262.63,4,60.02
2022-02-11,Filing Cabinet,Furniture,East,52.68,4,17.86
2022-02-11,Wireless Mouse,Electronics,North,1049.23,11,176.06
2022-02-11,Stapler,Office Supplies,East,1209.63,13,228.28
2022-02-11,Phone Case,Electronics,North,669.08,11,110.68
2022-02-11,Bluetooth Speaker,Electronics,Central,181.89,3,63.61
2022-02-11,Notebook Set,Office Supplies,North,246.79,5,66.86
2022-02-11,Phone Case,Electronics,Central,300.67,9,38.63
2022-02-12,Bookshelf,Furniture,North,519.59,6,164.98
2022-02-12,Notebook Set,Office Supplies,Central,347.82,4,35.81
2022-02-12,Office Chair,Furniture,North,287.46,12,78.48
2022-02-12,Polo Shirt,Apparel,South,37.14,4,3.19
2022-02-12,USB Hub,Electronics,West,274.55,3,43.11
2022-02-12,USB Hub,Electronics,East,588.72,7,160.33
2022-02-12,Pen Pack,Office Supplies,East,821.08,7,247.69
2022-02-12,Bluetooth Speaker,Electronics,East,151.98,2,35.66
2022-02-12,Notebook Set,Office Supplies,Central,325.45,4,68.36
2022-02-12,Phone Case,Electronics,North,884.13,14,194.2
2022-02-12,Filing Cabinet,Furniture,North,238.66,3,54.52
2022-02-13,USB Hub,Electronics,West,220.4,11,29.65
2022-02-13,Binder,Office Supplies,Central,881.44,10,257.15
2022-02-13,Polo Shirt,Apparel,East,625.97,7,129.47
2022-02-13,Winter Jacket,Apparel,Central,778.31,11,208.79
2022-02-13,Baseball Cap,Apparel,North,511.0,12,57.46
2022-02-13,Stapler,Office Supplies,East,369.58,5,123.14
2022-02-14,Stapler,Office Supplies,South,357.85,3,62.4
2022-02-14,Notebook Set,Office Supplies,Central,699.79,10,179.36
2022-02-14,Notebook Set,Office Supplies,South,159.52,6,44.31
2022-02-14,Bookshelf,Furniture,Central,1385.58,14,463.69
2022-02-14,Binder,Office Supplies,Central,846.86,14,206.27
2022-02-14,Filing Cabinet,Furniture,West,1184.17,12,202.69
2022-02-14,Binder,Office Supplies,Central,310.55,5,94.32
2022-02-14,Bookshelf,Furniture,East,747.84,13,133.6
2022-02-14,Notebook Set,Office Supplies,South,1145.21,12,238.88
2022-02-14,Desk Lamp,Furniture,North,338.56,11,94.15
2022-02-14,Stapler,Office Supplies,South,70.8,3,17.49
2022-02-14,Phone Case,Electronics,North,1475.18,13,501.24
2022-02-14,Bookshelf,Furniture,South,338.91,11,29.11
2022-02-14,Stapler,Office Supplies,North,127.54,2,36.65
2022-02-15,Bluetooth Speaker,Electronics,Central,72.21,1,12.13
2022-02-15,Stapler,Office Supplies,East,423.28,9,120.11
2022-02-15,Binder,Office Supplies,North,168.95,3,21.93
2022-02-15,Winter Jacket,Apparel,North,195.78,5,39.61
2022-02-15,Notebook Set,Office Supplies,North,724.15,8,137.2
2022-02-15,Bookshelf,Furniture,West,503.17,5,151.87
2022-02-15,Polo Shirt,Apparel,North,547.23,6,127.21
2022-02-15,Bluetooth Speaker,Electronics,South,285.17,12,44.49
2022-02-16,Polo Shirt,Apparel,East,406.76,8,107.89
2022-02-16,Running Shoes,Apparel,East,87.2,2,20.18
2022-02-16,Pen Pack,Office Supplies,North,203.9,4,56.46
2022-02-16,Winter Jacket,Apparel,West,694.1,8,200.96
2022-02-16,Office Chair,Furniture,Central,523.34,8,103.68
2022-02-16,USB Hub,Electronics,North,756.62,9,250.86
2022-02-16,Phone Case,Electronics,Central,377.19,5,45.31
2022-02-16,Phone Case,Electronics,East,323.52,3,38.13
2022-02-17,Polo Shirt,Apparel,North,509.62,5,136.47
2022-02-17,Binder,Office Supplies,South,51.66,2,12.56
2022-02-17,Notebook Set,Office Supplies,East,1011.87,11,185.35
2022-02-17,Winter Jacket,Apparel,South,1042.27,11,198.18
2022-02-17,Baseball Cap,Apparel,South,84.55,7,14.58
2022-02-17,USB Hub,Electronics,East,66.35,1,16.13
2022-02-17,Filing Cabinet,Furniture,East,381.91,7,58.64
2022-02-17,Winter Jacket,Apparel,South,913.36,12,95.94
2022-02-17,Running Shoes,Apparel,North,188.67,9,56.74
2022-02-18,Winter Jacket,Apparel,East,113.97,1,38.25
2022-02-18,Bookshelf,Furniture,Unknown,113.82,8,19.05
2022-02-18,Office Chair,Furniture,North,615.65,9,81.38
2022-02-18,Bluetooth Speaker,Electronics,East,769.06,7,110.81
2022-02-18,Bluetooth Speaker,Electronics,East,87.75,3,30.08
2022-02-18,Polo Shirt,Apparel,East,315.31,12,94.5
2022-02-18,Running Shoes,Apparel,South,578.96,10,52.35
2022-02-18,USB Hub,Electronics,Central,515.13,8,63.94
2022-02-18,Filing Cabinet,Furniture,Central,215.8,4,69.58
2022-02-18,Baseball Cap,Apparel,North,649.1,6,131.3
2022-02-19,Baseball Cap,Apparel,South,675.66,10,162.88
2022-02-19,Polo Shirt,Apparel,North,59.46,6,10.26
2022-02-19,Polo Shirt,Apparel,East,697.76,8,69.16
2022-02-19,Baseball Cap,Apparel,East,41.04,4,7.35
2022-02-19,Bluetooth Speaker,Electronics,East,406.7,12,59.59
2022-02-19,Pen Pack,Office Supplies,South,681.65,6,130.57
2022-02-19,Running Shoes,Apparel,East,262.39,2,27.6
2022-02-19,Phone Case,Electronics,North,64.18,1,6.79
2022-02-20,Polo Shirt,Apparel,South,1014.09,10,228.96
2022-02-20,Desk Lamp,Furniture,Central,90.4,4,24.6
2022-02-20,Office Chair,Furniture,East,410.12,5,43.13
2022-02-20,USB Hub,Electronics,West,489.12,6,128.21
2022-02-21,Winter Jacket,Apparel,Central,76.68,1,11.93
2022-02-21,Baseball Cap,Apparel,South,122.69,2,19.22
2022-02-21,Bookshelf,Furniture,East,57.75,2,10.69
2022-02-21,USB Hub,Electronics,South,529.43,7,170.63
2022-02-21,Polo Shirt,Apparel,Central,75.74,1,6.87
2022-02-21,Office Chair,Furniture,East,565.98,6,101.75
2022-02-21,Filing Cabinet,Furniture,Central,185.28,6,37.26
2022-02-21,Bluetooth Speaker,Electronics,East,50.19,1,8.65
2022-02-21,Wireless Mouse,Electronics,Central,601.9,11,90.37
2022-02-22,Office Chair,Furniture,Central,1115.32,9,313.79
2022-02-22,Phone Case,Electronics,South,1668.14,13,265.4
2022-02-22,Filing Cabinet,Furniture,West,213.84,4,17.94
2022-02-22,Bluetooth Speaker,Electronics,West,1128.25,10,325.78
2022-02-23,Winter Jacket,Apparel,West,490.74,4,166.43
2022-02-23,Filing Cabinet,Furniture,East,1190.54,13,184.7
2022-02-23,Polo Shirt,Apparel,East,154.21,6,12.35
2022-02-23,Notebook Set,Office Supplies,Central,20.71,2,3.97
2022-02-23,Bluetooth Speaker,Electronics,South,1305.3,12,442.94
2022-02-23,Office Chair,Furniture,East,654.99,5,77.81
2022-02-23,Running Shoes,Apparel,West,44.68,4,6.47
2022-02-23,Binder,Office Supplies,Central,579.19,11,196.69
2022-02-24,Office Chair,Furniture,West,402.76,8,101.77
2022-02-24,Running Shoes,Apparel,North,737.1,11,164.4
2022-02-24,Running Shoes,Apparel,North,75.3,7,12.45
2022-02-24,USB Hub,Electronics,North,496.06,6,48.33
2022-02-24,Bookshelf,Furniture,South,297.22,12,56.41
2022-02-24,Wireless Mouse,Electronics,East,147.25,4,25.74
2022-02-24,Notebook Set,Office Supplies,East,320.32,11,71.68
2022-02-25,Desk Lamp,Furniture,West,872.42,13,183.98
2022-02-25,Baseball Cap,Apparel,East,194.79,7,57.56
2022-02-25,Office Chair,Furniture,East,252.55,6,73.48
2022-02-25,Phone Case,Electronics,Central,111.03,1,28.65
2022-02-25,Filing Cabinet,Furniture,East,157.51,4,24.49
2022-02-26,Polo Shirt,Apparel,South,301.61,5,54.99
2022-02-27,Desk Lamp,Furniture,West,582.1,12,140.98
2022-02-27,Wireless Mouse,Electronics,West,861.66,12,257.84
2022-02-27,Running Shoes,Apparel,Central,741.08,8,216.4
2022-02-27,Binder,Office Supplies,North,182.75,2,42.02
2022-02-27,Wireless Mouse,Electronics,West,383.27,13,31.71
2022-02-27,Desk Lamp,Furniture,Central,149.58,3,23.41
2022-02-27,Notebook Set,Office Supplies,East,231.9,13,42.56
2022-02-27,Filing Cabinet,Furniture,West,138.43,10,21.65
2022-02-27,Stapler,Office Supplies,West,120.16,3,33.69
2022-02-28,Winter Jacket,Apparel,South,378.61,5,72.96
2022-02-28,Baseball Cap,Apparel,East,163.98,5,34.59
2022-02-28,Notebook Set,Office Supplies,Central,51.86,4,9.77
